    710-20TN	   17Lift 10-20 Tonnes	   17Lift 10-20 Tonnes	    0	   17Lift 10-20 Tonnes	          324	24-jul-2000 17:09:21     	                         	                         	    6he2441	    0	    0	    1A
    420PB	   1320FT Poly Bag	   1320FT Poly Bag	    0	   1320FT Poly Bag	           28	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    420RF	   1120FT Reefer	   1220FT Reefers	    0	   1220FT Reefers	           29	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    420SP	   1220FT SPREADR	   10CONTAINERS	    0	   10CONTAINERS	           30	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    420SU	    920FT CONT	   10CONTAINERS	    0	   10CONTAINERS	           31	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    420XN	   12NIGHTLY RATE	   1020FT CONTS	    6NIGHTS	   1020FT/NIGHT	           32	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    420XW	   11WEEKLY RATE	   1020FT CONTS	    5WEEKS	   1020FT/WEEKS	           33	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    424PB	   1324FT Poly Bag	   1324FT Poly Bag	    0	   1324FT Poly Bag	           34	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    32ND	    8PERIOD 2	    6PERIOD	    0	    6PERIOD	           35	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    62NDSND	   222nd Shift - Normal Day	   202nd Shift - Normal D	    0	   202nd Shift - Normal D	          310	09-feb-2000 13:19:06     	09-feb-2000 13:31:48     	09-feb-2000 13:31:48     	    6he2441	    6he2441	    6he2441	    1I

    62NDSPH	   262nd Shift - Public Holiday	   202nd Shift - Public H	    0	   202nd Shift - Public H	          313	09-feb-2000 13:21:13     	09-feb-2000 13:31:52     	09-feb-2000 13:31:52     	    6he2441	    6he2441	    6he2441	    1I

    42NDV	   12SECOND VISIT	   10GROSS TONS	    0	   10GROSS TONS	           36	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    33RD	    8PERIOD 3	    6PERIOD	    0	    6PERIOD	           37	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    63RDSND	   223rd Shift - Normal Day	   203rd Shift - Normal D	    0	   203rd Shift - Normal D	          311	09-feb-2000 13:19:55     	09-feb-2000 13:32:14     	09-feb-2000 13:32:14     	    6he2441	    6he2441	    6he2441	    1I

    63RDSPH	   263rd Shift - Public Holiday	   203rd Shift - Public H	    0	   203rd Shift - Public H	          314	09-feb-2000 13:21:54     	09-feb-2000 13:32:20     	09-feb-2000 13:32:20     	    6he2441	    6he2441	    6he2441	    1I

    43RDV	   11THIRD VISIT	   10GROSS TONS	    0	   10GROSS TONS	           38	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    54-Jun	   18<PopsDel>4pm - 6pm	    7MINIMUM	    0	    7MINIMUM	           39	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    440BA	    940FT Base	    940FT Base	    0	    940FT Base	          353	24-nov-2000 10:11:49     	                         	                         	    6he2441	    0	    0	    1A

    440CC	   1240FT CARCASE	   10CONTAINERS	    0	   10CONTAINERS	           40	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    440DH	   10DAILY HIRE	    440FT	    4DAYS	    940FT/DAYS	           41	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    440DL	    840FT DLR	   1040FT DLR'S	    0	   1040FT DLR'S	           42	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    440FN	   1140FT FANTNR	   10FANTAINERS	    0	   10FANTAINERS	           43	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    440FT	   1440FT Container	   1540FT Containers	    0	   1540FT Containers	           44	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    840FTMT01	   1840FT Empty - Day 1	   1840FT Empty - Day 1	    0	   1840FT Empty - Day 1	          335	27-jul-2000 15:05:52     	27-jul-2000 15:08:47     	27-jul-2000 15:08:47     	    6he2441	    6he2441	    6he2441	    1I

    440GN	   1240FT GENERAL	   10CONTAINERS	    0	   10CONTAINERS	           45	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    440MT	   1040FT Empty	   1240FT Empties	    0	   1240FT Empties	           46	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    640MT01	   1840FT Empty - Day 1	   1840FT Empty - Day 1	    0	   1840FT Empty - Day 1	          339	27-jul-2000 15:10:55     	                         	                         	    6he2441	    0	    0	    1A

    640MT10	   2140FT Empty to 10 Days	   2040FT Empty -> 10 Dys	    0	   2140FT Empty -> 10 Days	          336	27-jul-2000 15:07:35     	                         	                         	    6he2441	    0	    0	    1A

    640MT19	   2140FT Empty to 19 Days	   2040FT Empty -> 19 Dys	    0	   2140FT Empty -> 19 Days	          337	27-jul-2000 15:08:35     	                         	                         	    6he2441	    0	    0	    1A

    640MT29	   2140FT Empty to 29 Days	   2040FT Empty -> 29 Dys	    0	   2140FT Empty -> 29 Days	          338	27-jul-2000 15:09:28     	                         	                         	    6he2441	    0	    0	    1A

    740MTFA0	   3040FT Empty - Maersk Fantainer0	   1640FT MT MSK Fan0	    0	   1640FT MT MSK Fan0	          345	13-oct-2000 09:19:58     	13-oct-2000 10:12:35     	13-oct-2000 10:12:35     	    6he2441	    6he2441	    6he2441	    1I

    740MTFA1	   2940FT Empty- Maersk Fantainer1	   1640ft MT MSK Fan1	    0	   1640ft MT MSK Fan1	          346	13-oct-2000 09:22:45     	13-oct-2000 10:12:41     	13-oct-2000 10:12:41     	    6he2441	    6he2441	    6he2441	    1I

    740MTFAI	   3040FT Empty - Maersk Fantainer0	   1640FT MT MSK Fan0	    0	   1640FT MT MSK Fan0	          347	13-oct-2000 10:08:31     	13-oct-2000 10:27:36     	13-oct-2000 10:27:36     	    6he2441	    6he2441	    6he2441	    1I

    740MTFAJ	   3040FT Empty - Maersk Fantainer1	   1640FT MT MSK Fan1	    0	   1640FT MT MSK Fan1	          348	13-oct-2000 10:09:20     	13-oct-2000 10:27:42     	13-oct-2000 10:27:42     	    6he2441	    6he2441	    6he2441	    1I

    640MTFI	   3040FT Empty - Maersk Fantainer0	   1640FT MT MSK Fan0	    0	   1640FT MT MSK Fan0	          349	13-oct-2000 10:22:06     	                         	                         	    6he2441	    0	    0	    1A

    640MTFJ	   3040FT Empty - Maersk Fantainer1	   1640FT MT MSK Fan1	    0	   1640FT MT MSK Fan1	          350	13-oct-2000 10:22:58     	                         	                         	    6he2441	    0	    0	    1A

    640MTSP	   2240FT Empty Special Box	   1840FT Empty Special	    0	   1840FT Empty Special	          340	27-jul-2000 15:11:41     	                         	                         	    6he2441	    0	    0	    1A

    840MTSP10	   2940FT Empty Special -> 10 Days	   2040FT MT SP ->10 Days	    0	   2040FT MT SP ->10 Days	          341	27-jul-2000 15:12:50     	                         	                         	    6he2441	    0	    0	    1A

    840MTSP19	   2940FT Empty Special -> 19 Days	   2040FT MT SP ->19 Days	    0	   2040FT MT SP ->19 Days	          342	27-jul-2000 15:13:29     	27-jul-2000 15:13:43     	                         	    6he2441	    6he2441	    0	    1A

    840MTSP29	   2940FT Empty Special -> 29 Days	   2040FT MT SP ->29 Days	    0	   2040FT MT SP ->29 Days	          343	27-jul-2000 15:14:04     	                         	                         	    6he2441	    0	    0	    1A

    440NT	   1040FT UNITS	    6NIGHTS	    0	    6NIGHTS	           47	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    440RF	   1140FT Reefer	   1240FT Reefers	    0	   1240FT Reefers	           48	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    440SP	   1240FT SPREADR	   10CONTAINERS	    0	   10CONTAINERS	           49	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    440SU	    940FT CONT	   10CONTAINERS	    0	   10CONTAINERS	           50	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    440XN	   12NIGHTLY RATE	    940FT CONT	    6NIGHTS	   1040FT/NIGHT	           51	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    440XW	   12WEEKLY RATES	   1040FT CONTS	    5WEEKS	   1040FT/WEEKS	           52	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    44THV	   21<PopsDel>FOURTH VISIT	   10GROSS TONS	    0	   10GROSS TONS	           53	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    65-10TN	   16Lift 5-10 Tonnes	   16Lift 5-10 Tonnes	    0	   16Lift 5-10 Tonnes	          323	24-jul-2000 17:06:56     	                         	                         	    6he2441	    0	    0	    1A

    4500G	   12<SpkDel>500g	    4500g	    0	    4500g	           54	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    45THV	   18<PopsDel>5TH VISIT	   10GROSS TONS	    0	   10GROSS TONS	           55	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3665	   21<CorpDel>CIVIL DESIGN	   13.CIVIL DESIGN	    0	   12CIVIL DESIGN	           56	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3669	   20<CorpDel>CONSULTANCY	   11CONSULTANCY	    0	   11CONSULTANCY	           57	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3671	   19<CorpDel>INSPECT MA	   10INSPECT MA	    0	   10INSPECT MA	           58	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3672	   20<CorpDel>HYDROGRAPHY	   11HYDROGRAPHY	    0	   11HYDROGRAPHY	           59	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    46THV	   18<PopsDel>6TH VISIT	   10GROSS TONS	    0	   10GROSS TONS	           60	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    5< 6.5	   25<SpkDel>< 6.5 Cubic Metre	    8Services	    0	    8Services	            2	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4<16M	   16<16 Cubic Metres	    7< 16 M3	    0	    7< 16 M3	            3	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4<32M	   16<32 Cubic Metres	    7< 32 M3	    0	    7< 32 M3	            4	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4<5TN	   14Lift <5 Tonnes	   14Lift <5 Tonnes	    0	   14Lift <5 Tonnes	          325	24-jul-2000 17:15:41     	                         	                         	    6he2441	    0	    0	    1A

    4<6.2	   17<6.2 Cubic Metres	   17<6.2 Cubic Metres	    0	   17<6.2 Cubic Metres	            5	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4<8M3	   16< 8 Cubic Metres	    6< 8 M3	    0	    6< 8 M3	            6	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    3>12	   21<PopsDel>12-13.5 MTRS	    8SERVICES	    0	    8SERVICES	            7	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3>13	   21<PopsDel>>13.5 METRES	    8SERVICES	    0	    8SERVICES	            8	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4>1ST	   19<PopsDel>>1ST MONTH	    4DAYS	    0	    4DAYS	            9	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    5>20TN	   15Lift >20 Tonnes	   15Lift >20 Tonnes	    0	   15Lift >20 Tonnes	          326	24-jul-2000 17:16:21     	                         	                         	    6he2441	    0	    0	    1A

    4>6.1	   17>6.1 Cubic Metres	   17>6.1 Cubic Metres	    0	   17>6.1 Cubic Metres	           10	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4>6.5	   21<PopsDel>6.5-9.0 MTRS	    8SERVICES	    0	    8SERVICES	           11	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4>9.0	   20<PopsDel>9.0-12 MTRS	    8SERVICES	    0	    8SERVICES	           12	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    1A	   13Annual Charge	   13Annual Charge	    0	   13Annual Charge	           61	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    2AK	   15Aucklander Hire	   15Aucklander Hire	    0	   15Aucklander Hire	           62	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    3AMT	    6Amount	    6Amount	    0	    6Amount	           63	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    3APC	   13Annual Charge	   12Gross Tonnes	    0	   12Gross Tonnes	           64	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    2AR	   11ANNUAL RATE	    7VESSELS	    0	    7VESSELS	           65	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3ATT	   18<PopsDel>ATTENDING	    9ATTENDING	    0	    9ATTENDING	           66	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4AUTO	   21<PopsDel>AUTO VEHICLE	    8VEHICLES	    0	    8VEHICLES	           67	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3BAG	   11<SpkDel>BAG	    3BAG	    0	    3BAG	           68	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4BALE	   13<SpkDel>BALES	    5BALES	    0	    5BALES	           69	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4BASD	   20<PopsDel>D/TIME RATE	    6TONNES	    0	    6TONNES	           70	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4BASO	   19<PopsDel>BASIC RATE	    6TONNES	    0	    6TONNES	           71	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4BAST	   20<PopsDel>T/HALF RATE	    6TONNES	    0	    6TONNES	           72	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4BB/M	   12B/B & Mobile	   10BB &Mobile	    0	   10BB &Mobile	           73	10-nov-1999 15:32:50     	01-mar-2000 11:10:52     	                         	    4load	    6br2464	    0	    1A

    4BGMP	   21<PopsDel>BAGS MILK PR	    4BAGS	    0	    4BAGS	           74	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3BIN	    4Bins	    4Bins	    0	    4Bins	           75	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4BLDG	   12BLDG-HAURAKI	    4BLDG	    0	    4BLDG	           76	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4BOAT	   14Boat & Trailer	    4Boat	    0	    4Boat	           77	10-nov-1999 15:32:50     	02-may-2000 12:29:07     	                         	    4load	    6he2441	    0	    1A

    4BOOK	    5BOOKS	    5BOOKS	    0	    5BOOKS	           78	10-nov-1999 15:32:50     	31-oct-2000 12:04:53     	                         	    4load	    6he2441	    0	    1A

    2BU	   10Busby Hire	   10Busby Hire	    0	   10Busby Hire	          308	14-jan-2000 13:55:33     	                         	                         	    6he2441	    0	    0	    1A

    4BVFT	    7BABYVAN	    8BABYVANS	    0	    8BABYVANS	           79	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4BVMT	   10BABYVAN MT	    8BABYVANS	    0	    8BABYVANS	           80	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3BVX	    8BABY VAN	    9BABY VANS	    0	    9BABY VANS	           81	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4BVXN	   12NIGHTLY RATE	    8BABY VAN	    6NIGHTS	   10BVAN/NITES	           82	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4BVXT	   12NIGHTLY RATE	    8BABY VAN	    6NIGHTS	    9BV/NIGHTS	           83	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3BXN	   12NIGHTLY RATE	    7BOLSTER	    5NIGHT	   10BOL/NIGHTS	           84	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4C/ST	   19<PopsDel>COIL STEEL	    6TONNES	    0	    6TONNES	           85	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3CAR	    4Cars	    4Cars	    0	    4Cars	           86	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    2CF	   11CONNECT FEE	    5UNITS	    0	    5UNITS	           87	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    2CM	   21<PopsDel>CUBIC METRES	    2CM	    0	    2CM	           88	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4COMB	   21<PopsDel>COMBINED RTE	    5HOURS	    0	    5HOURS	           89	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3CON	   21<PopsDel>1ST 3 NIGHTS	    5UNITS	    6NIGHTS	    6NIGHTS	           90	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4CONP	   21<PopsDel>1ST 3 NIGHTS	    5UNITS	    6NIGHTS	    6NIGHTS	           91	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4CONT	   10Containers	   10Containers	    0	   10Containers	           92	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4COPY	   13<PopsDel>COPY	    6COPIES	    0	    6COPIES	           93	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4CRAN	   21<PopsDel>CRANE 10 TON	    4HIRE	    0	    4HIRE	           94	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4CRNE	    5Crane	    5Crane	    0	    5Crane	           95	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4CTRD	   14Container Days	   10Containers	    4Days	   14Container/Days	          318	24-may-2000 10:01:10     	24-may-2000 10:01:25     	                         	    6he2441	    6he2441	    0	    1A

    1D	    3Day	    4Days	    0	    4Days	           96	10-nov-1999 15:32:50     	23-may-2000 12:04:33     	23-may-2000 12:04:33     	    4load	    6he2441	    6he2441	    1I

    3D&D	   21<PopsDel>DUST & DISAB	    5HOURS	    0	    5HOURS	           97	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    2DA	    5DALDY	    4HIRE	    0	    4HIRE	           98	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    3DAY	    4Days	    4Days	    0	    4Days	           99	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4DGCK	   17<PopsDel>DG CHECK	    9MANIFESTS	    0	    9MANIFESTS	          100	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3DGD	   20<PopsDel>D/TIME RATE	    6TONNES	    0	    6TONNES	          101	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3DGO	   21<PopsDel>DANGER GOODS	    6TONNES	    0	    6TONNES	          102	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3DGT	   20<PopsDel>T/HALF RATE	    6TONNES	    0	    6TONNES	          103	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    2DH	   19<PopsDel>DAILY HIRE	    4DAYS	    0	    4DAYS	          104	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3DIS	   19<PopsDel>DISCONNECT	   10DISCONNECT	    1.	   10DISCONNECT	          105	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3DOC	   17<PopsDel>DOCUMENT	    9DOCUMENTS	    0	    9DOCUMENTS	          106	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    2DR	   10Daily Rate	    4Days	    0	    4Days	          107	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4DRUM	    5Drums	    5Drums	    0	    5Drums	          108	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    2DT	   20<PopsDel>DOUBLE TIME	    5HOURS	    0	    5HOURS	          109	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3DTH	   21<PopsDel>DBL TIME HLF	    5HOURS	    0	    5HOURS	          110	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3DTR	   18Daily Gross Tonnes	   12Gross Tonnes	    4Days	   17Gross Tonnes Days	          111	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4EACH	    8PER UNIT	    5UNITS	    0	    5UNITS	          112	10-nov-1999 15:32:50     	30-nov-1999 10:27:40     	                         	    4load	    6he2441	    0	    1A

    2EH	   10EQUIP HIRE	    5ITEMS	    0	    5ITEMS	          113	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3EMC	   12METER CHARGE	    6METERS	    4DAYS	   10METER/DAYS	          114	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3EMS	   12Meter Supply	    5Units	    0	    5Units	          115	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4EMS1	   21<PopsDel>EMS PLUS 10%	    5UNITS	    0	    5UNITS	          116	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3EQP	   18<PopsDel>EQUIPMENT	    5UNITS	    0	    5UNITS	          117	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4ESAK	   21<PopsDel>ELECT SOCKET	    6SOCKET	    0	    6SOCKET	          118	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    2EW	    8Each Way	    8Services	    0	    8Services	          119	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    3EXD	   20<PopsDel>D/TIME RATE	    6TONNES	    0	    6TONNES	          120	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3EXO	   19<PopsDel>EXTRA RATE	    6TONNES	    0	    6TONNES	          121	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3EXT	   20<PopsDel>T/HALF RATE	    6TONNES	    0	    6TONNES	          122	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    2FC	   20<PopsDel>FILING CHGE	    7REFILLS	    0	    7REFILLS	          123	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    2FE	   14<PopsDel>FERRO	    4HIRE	    0	    4HIRE	          124	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3FEE	    3Fee	    3Fee	    0	    3Fee	          125	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4FEUD	    8FEU Days	    3FEU	    4Days	    8FEU/Days	          320	24-may-2000 12:31:34     	                         	                         	    6he2441	    0	    0	    1A

