            7	    51.5.6	   27<PopsDel>CRANE WAITING TIME	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I
          461	    6B127IM	   24<PopsDel>POTASS SULPHATE	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          468	    6B132IM	   10ROAD METAL	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          486	    6B147EX	   14VEGE OILS,BULK	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          511	    6B163IM	   14<PopsDel>CLAYS	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          527	    6B176EX	   13FUEL OIL,BULK	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          534	    6B180IM	   11LPG MANUKAU	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          548	    6B206IM	   14REFRACT MORTAR	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          573	    6B219IM	   18<PopsDel>FLOORINGS	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          591	    6B229EX	   19<PopsDel>FIBREGLASS	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          598	    6B232IM	   10STEEL,COIL	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          612	    6B240EX	    6COPPER	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          637	    6B255IM	   10ELECT MACH	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          650	    6B263EX	   14CKD CARS,PARTS	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          659	    6B267IM	   26Vehicles New > 18M3 Import	    0	    1N	    1S	    1B	    0	     0	01-jan-2000              	31-dec-2099              	10-nov-1999              	29-dec-1999 10:11:41     	                         	    4load	    6he2441	    0	    1A

          673	    6B274IM	   23<PopsDel>PRINTED MATTER	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          696	    6B287IM	   23<PopsDel>EMPTY ISO CONT	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          714	    6B296IM	   24<PopsDel>ELEC APPLIANCES	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          723	    6B305IM	   13CARS,GULF IS.	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          737	    6B367IM	   28<PopsDel>T/ship IM Large New	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          760	    6B525EX	   27Vegetable Products - Export	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          768	    6B534EX	   26Transhipment Cars - Export	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          793	    6BTHINT	   26<CorpDel>Internal Berthage	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          811	    5E6015	   20RENT Wynyard Shed 40	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          818	    5E6060	   20POST BOXES BLEDISLOE	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          832	    5E6611	   18WEIGHBRIDGE O/TIME	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          857	    5F7151	   11STEAM CLEAN	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          875	    5F8123	   18LIFT MEDIUM 4-10tn	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          882	    5F8206	   39Standard Shuttle - Urgent Cont Transfer	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	30-nov-1999 13:59:34     	                         	    4load	    6cr2772	    0	    1A

          901	    5F8411	   13LIGHT TRACTOR	    0	    1Y	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          924	    5F8732	   35Wharf Surveillance Officer pd 2 M-F	    0	    1N	    1S	    1B	    0	     0	01-jan-2000              	31-dec-2099              	10-nov-1999              	19-jun-2000 16:30:35     	                         	    4load	    6he2441	    0	    1A

          942	    5F8950	   28<PopsDel>PALLETISED M/POWDER	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          951	    2GW	   14GOODS WHARFAGE	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          965	    6ONLELP	   28<CorpDel>ONLINE ELAPSED TIME	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          988	    5R0012	   29<PopsDel>VISIT MISC VSL 14-18	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

         1006	    5R0030	   18<PopsDel>TENANCIES	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

         1015	    5S64.2	   28<SpkDel>EXTRA STORAGE INSIDE	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

         1038	    6S74.13	   15<SpkDel>PLYWOOD	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

         1047	    5S74.3	   14TIMBER 6" X 1"	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

         1061	    5S77.1	   17<SpkDel>PACK WOOL	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

         1084	    4SUND	   17<CorpDel>SUNDRIES	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

         1102	    6B502IM	   27Petroleum Products - Import	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

         1111	    6B580EX	   18Machinery - Export	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

         1125	    48N.R	   24RORO 3rd Shift Surcharge	    0	    1N	    1S	    1B	    0	     0	01-dec-1999              	31-dec-2099              	02-dec-1999 16:30:14     	                         	                         	    6he2441	    0	    0	    1A

         1148	    29H	   19Harbour Mobile Hire	    0	    1N	    1S	    1B	    0	     0	01-jan-2000              	31-dec-2099              	09-feb-2000 10:01:18     	                         	                         	    6he2441	    0	    0	    1A

         1163	    6B326EX	   31Boats 6.5 to 9.5 Metres, Export	    0	    1N	    1S	    1B	    0	     0	01-jan-2000              	31-dec-2099              	12-apr-2000 15:11:40     	                         	                         	    6he2441	    0	    0	    1A

         1170	    6B054IM	   19Vegetables - Import	    0	    1N	    1S	    1B	    0	     0	01-apr-2000              	31-dec-2099              	16-may-2000 09:13:24     	                         	                         	    6he2441	    0	    0	    1A

         1184	    52SC.P	   23Monitor Reefer - Export	    5POWER	    1N	    1S	    1B	    0	     0	01-jul-2000              	31-dec-2099              	25-jul-2000 17:58:59     	                         	                         	    6he2441	    0	    0	    1A

         1209	    55YB.D	   25Rail Deliver - Break Bulk	    0	    1N	    1S	    1B	    0	     0	01-jul-2000              	31-dec-2099              	31-jul-2000 12:54:02     	                         	                         	    6he2441	    0	    0	    1A

         1227	    56KC.R	   22Handling at AXIS Stack	    0	    1N	    1S	    1B	    0	     0	01-nov-2000              	31-dec-2099              	06-dec-2000 17:30:50     	15-dec-2000 14:55:40     	                         	    6he2441	    6he2441	    0	    1A

         1234	    62TC.G3	   37Wharfage - Coastal Tranship Departure	    2GW	    1N	    1S	    1B	    0	     0	01-oct-2000              	31-dec-2099              	03-apr-2001 11:05:20     	03-apr-2001 12:02:36     	                         	    6he2441	    6he2441	    0	    1A

            8	    51.5.7	   11YACHT < 5TN	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	24-jul-2000 13:51:24     	24-jul-2000 13:51:24     	    4load	    6he2441	    6he2441	    1I

           17	    51DCRG	   29Wharfage - DLR RORO Container	    2GW	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	27-jun-2000 09:29:59     	                         	    4load	    6he2441	    0	    1A

           35	    51SCRO	   38RORO Discharge Container O/D Surcharge	    5DISCH	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	27-jun-2000 09:50:13     	                         	    4load	    6he2441	    0	    1A

           58	    41TCS	   36T/S Discharge Ship's Crane Container	    7T/DISCH	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	15-dec-1999 09:53:52     	                         	    4load	    6br2464	    0	    1A

           72	    42DVR	   17RORO DLR Load Car	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

           81	    52SCRG	   32Wharfage - Export RORO Container	    2GW	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	27-jun-2000 10:15:08     	                         	    4load	    6he2441	    0	    1A

           99	    52SVRG	   30Wharfage - Export Vehicle RORO	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	27-jun-2000 10:19:00     	                         	    4load	    6he2441	    0	    1A

          122	    43SVR	   27RORO Shift-on-Board Vehicle	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	27-jun-2000 10:26:22     	                         	    4load	    6he2441	    0	    1A

          141	    56YC.E	   20Fantainer Power Days	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          148	    66YC.FI	   17Inspect Container	    7INSPECT	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	14-dec-1999 11:19:00     	                         	    4load	    6br2464	    0	    1A

          166	    56YC.Q	   12Reefer Power	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	26-jul-2000              	10-nov-1999              	27-jul-2000 14:27:27     	                         	    4load	    6he2441	    0	    1A

          191	    59.7.2	   25<PopsDel>HEAVY HOIST HIRE	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          205	    5A0222	   18LINESMAN 0730-1630	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          212	    5A6511	   20METER CHARGE - WHARF	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          230	    5A9111	   27Second Call Marine Services	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	21-jun-2000 16:12:28     	                         	    4load	    6he2441	    0	    1A

          255	    5A9402	   14LOFT MATERIALS	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          263	    5A9506	   28Passenger - Baggage Conveyor	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	31-oct-2000 10:02:17     	                         	    4load	    6he2441	    0	    1A

          286	    6B011IM	   15<PopsDel>MUTTON	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          300	    6B019EX	   24<PopsDel>OTHER REF.DAIRY	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          309	    6B025EX	   11MILK POWDER	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          327	    6B036IM	   13<PopsDel>RICE	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          350	    6B052IM	   15PUMPKINS/SQUASH	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          364	    6B064EX	   14<PopsDel>HONEY	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          373	    6B071EX	    7BANANAS	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          386	    6B079EX	   21<PopsDel>FRUIT JUICES	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          411	    6B092EX	   10STOCKFOODS	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          425	    6B101EX	   11PELTS,SHEEP	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          432	    6B106IM	   12HEMP & SISAL	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          450	    6B117IM	   13WOOD PRODUCTS	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          475	    6B140IM	   11GYPSUM,BULK	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	24-nov-1999 22:37:38     	                         	    4load	    6he2441	    0	    1A

          489	    6B148IM	   23<PopsDel>METALLIF. ORES	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          496	    6B153IM	   16<PopsDel>CASINGS	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          512	    6B167IM	   11LIME,NON-AG	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          537	    6B200EX	   23<PopsDel>COLOURING MATL	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          555	    6B210IM	   22<PopsDel>LEATHER GOODS	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          562	    6B214EX	   23<PopsDel>CLOTHING,SHOES	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          576	    6B221EX	   19<PopsDel>DRAINPIPES	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          601	    6B234EX	   23<PopsDel>STEEL WIRE ETC	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          619	    6B243IM	    4LEAD	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          626	    6B250EX	   16<PopsDel>ENGINES	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          645	    6B260IM	   17<PopsDel>AIRCRAFT	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          668	    6B272EX	   15PAPER,NEWSPRINT	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          686	    6B281EX	   20<PopsDel>E/R BOTTLES	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          695	    6B287EX	   23<PopsDel>EMPTY ISO CONT	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          709	    6B294EX	   22<PopsDel>REFRIGERATORS	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          732	    6B323EX	   11WASTE PAPER	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          750	    6B500EX	   22General Cargo - Export	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          759	    6B520IM	   23Fruit Products - Import	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          783	    6B560IM	   13Ores - Import	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          790	    6BOTCPU	   29<PopsDel>BATCH CPU OTHER TIME	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          804	    5E5200	   19ELECTRICITY S/STN T	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          829	    5E6500	   19VAN & ESCORT DUTIES	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1A

          847	    5ENG L	   24<PopsDel>ENGINEER LABOUR	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          854	    5F7132	    7PLASTIC	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          868	    5F8112	   29<PopsDel>NZDB Full Lift 10-20	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          893	    5F8322	   19M/HOIST with DRIVER	    0	    1Y	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          906	    5F8511	   23<PopsDel>QUAYSIDE CRANE	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          915	    5F8715	   27<PopsDel>S/VISOR pd 3 w/end	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          929	    5F8742	   25<PopsDel>T/CLERK pd 2 M-F	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          952	    5GWCOM	   17Comimission on GW	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	19-jun-2000 16:50:40     	19-jun-2000 16:50:40     	    4load	    6he2441	    6he2441	    1I

          970	    6PETROL	   15<PopsDel>PETROL	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

          979	    5R0003	   25<PopsDel>SHIPS TELEPHONES	    0	    1N	    1S	    1B	    0	     0	01-jan-1900              	31-dec-2099              	10-nov-1999              	                         	                         	    4load	    0	    0	    1I

