            6	   12baselineview	    8Baseline	            3	    1N	            0	16-mar-1994 05:56:48     	            3	16-mar-1994 05:56:48     	            3	]^NULL^[                 	    8]^NULL^[
          416	    8dev view	    7Working	          106	    1N	          415	10-sep-1997 06:31:52     	           59	10-sep-1997 06:31:52     	           59	]^NULL^[                 	    8]^NULL^[

          417	   12release view	    7Working	          106	    1N	          415	10-sep-1997 06:31:52     	           59	10-sep-1997 06:31:52     	           59	]^NULL^[                 	    8]^NULL^[

          418	    9test view	    7Working	          106	    1N	          415	10-sep-1997 06:31:52     	           59	10-sep-1997 06:31:52     	           59	]^NULL^[                 	    8]^NULL^[

          419	   13dev test view	    7Working	          106	    1N	          415	10-sep-1997 06:31:52     	           59	10-sep-1997 06:31:52     	           59	]^NULL^[                 	    8]^NULL^[

          427	   12baselineview	    8Baseline	          108	    1N	            0	23-sep-1997 02:12:58     	           62	23-sep-1997 02:12:58     	           62	]^NULL^[                 	    8]^NULL^[

          471	   11Development	    7Working	          108	    1N	          427	22-oct-1997 06:28:56     	           62	22-oct-1997 06:29:10     	           62	]^NULL^[                 	    8]^NULL^[

          472	    5Build	    7Working	          108	    1N	          427	22-oct-1997 06:29:15     	           62	13-mar-1998 08:25:13     	           62	]^NULL^[                 	    8]^NULL^[

          477	   12baselineview	    8Baseline	          116	    1N	            0	23-oct-1997 06:13:25     	           59	23-oct-1997 06:13:25     	           59	]^NULL^[                 	    8]^NULL^[

          478	    8dev view	    7Working	          116	    1N	          477	23-oct-1997 06:13:25     	           59	23-oct-1997 06:13:25     	           59	]^NULL^[                 	    8]^NULL^[

          479	   12release view	    7Working	          116	    1N	          477	23-oct-1997 06:13:25     	           59	23-oct-1997 06:13:25     	           59	]^NULL^[                 	    8]^NULL^[

          480	    9test view	    7Working	          116	    1N	          477	23-oct-1997 06:13:25     	           59	23-oct-1997 06:13:25     	           59	]^NULL^[                 	    8]^NULL^[

          481	   13dev test view	    7Working	          116	    1N	          477	23-oct-1997 06:13:25     	           59	23-oct-1997 06:13:25     	           59	]^NULL^[                 	    8]^NULL^[

          492	    7View-92	    1W	           18	    1N	            0	23-dec-1997 07:45:06     	           62	23-dec-1997 07:45:06     	           62	]^NULL^[                 	    8]^NULL^[

          509	   12baselineview	    8Baseline	          121	    1N	            0	27-jan-1998 07:21:46     	           72	27-jan-1998 07:21:46     	           72	]^NULL^[                 	    8]^NULL^[

          511	   11Development	    7Working	          121	    1N	          509	27-jan-1998 07:21:46     	           72	27-jan-1998 07:21:46     	           72	]^NULL^[                 	    8]^NULL^[

          512	    4Test	    7Working	          121	    1N	          509	27-jan-1998 07:21:46     	           72	27-jan-1998 07:21:46     	           72	]^NULL^[                 	    8]^NULL^[

          513	    7Release	    7Working	          121	    1N	          509	27-jan-1998 07:21:46     	           72	27-jan-1998 07:21:46     	           72	]^NULL^[                 	    8]^NULL^[

          514	    6Closed	    7Working	           78	    1N	          299	30-jan-1998 05:37:47     	           38	30-jan-1998 05:38:04     	           38	]^NULL^[                 	    8]^NULL^[

          519	   12baselineview	    8Baseline	          123	    1N	            0	11-mar-1998 01:17:42     	           62	11-mar-1998 01:17:42     	           62	]^NULL^[                 	    8]^NULL^[

          522	   16Maintenance View	    7Working	          123	    1N	          519	11-mar-1998 01:20:57     	           62	11-mar-1998 01:21:13     	           62	]^NULL^[                 	    8]^NULL^[

