    3MIS	    0	    0	         8624	    5POSER	    5PWHRF	    2JF	    0	            0	            0	    0	    0	    0	                         	                         	                         	                         	                         	                         	                         	    0	    1A	    6br2464	27-apr-2000 10:36:19     
    3S/E	    7BCH9310	    1J	        15807	    5POSER	    5PWHRF	    2JF	    0	        20726	        39310	    0	    0	    0	                         	                         	                         	                         	                         	                         	21-jan-2001 00:00:00     	    0	    1A	    0	24-aug-2000 11:09:27     

    3S/E	    7PER9311	    1J	        15808	    5POSER	    5PWHRF	    2JF	    0	         1126	        39311	    0	    0	    0	                         	                         	                         	                         	                         	                         	04-feb-2001 00:00:00     	    0	    1A	    0	24-aug-2000 11:10:06     

    3S/E	    7KRA9333	    1B	        15833	    4POPS	    3BCT	    0	    0	        14630	        39333	    0	    0	    0	                         	                         	                         	                         	                         	                         	17-dec-2000 00:00:00     	    0	    1A	    0	24-aug-2000 12:05:40     

    2GW	    0	    0	        15903	    5POSER	    5PWHRF	    2JF	    2EX	        19697	        38650	    0	    0	    0	                         	                         	                         	                         	                         	                         	                         	    0	    1A	    6ta5114	28-aug-2000 12:09:49     

    2GW	    0	    0	        16193	    5POSER	    5PWHRF	    2ON	    2IM	        16648	        39225	    0	    0	    0	                         	                         	                         	                         	                         	                         	                         	    0	    1A	    6ta5114	05-sep-2000 09:02:17     

    2GW	    0	    0	        16305	    5POSER	    5PWHRF	    2JF	    2EX	        19957	        39247	    0	    0	    0	                         	                         	08-sep-2000 16:34:54     	                         	                         	                         	                         	    0	    1A	    6ta5114	08-sep-2000 16:34:55     

    2GW	    0	    0	        16433	    5POSER	    5PWHRF	    2ON	    2EX	        16111	        39401	    0	    0	    0	                         	                         	                         	                         	                         	                         	                         	    0	    1A	    6ta5114	15-sep-2000 10:53:02     

    2GW	    0	    0	        16493	    5POSER	    5PWHRF	    2ON	    2IM	        20281	        39499	    0	    0	    0	                         	                         	18-sep-2000 11:57:44     	                         	                         	                         	                         	    0	    1A	    6ta5114	18-sep-2000 11:57:45     

    3S/E	    7TAN9587	    1J	        16560	    5POSER	    5PWHRF	    2JF	    0	        18840	        39587	    0	    0	    0	                         	                         	                         	                         	                         	                         	28-nov-2000 18:50:00     	    0	    1A	    0	19-sep-2000 12:25:41     

    3S/E	    7TAA9592	    1J	        16565	    5POSER	    5PWHRF	    2JF	    0	        17074	        39592	    0	    0	    0	                         	                         	                         	                         	                         	                         	22-jan-2001 00:00:00     	    0	    1A	    0	19-sep-2000 12:44:21     

    3S/E	    7TPI9593	    1J	        16566	    5POSER	    5PWHRF	    2JF	    0	        20729	        39593	    0	    0	    0	                         	                         	                         	                         	                         	                         	05-feb-2001 00:00:00     	    0	    1A	    0	19-sep-2000 12:45:10     

    3S/E	    7HRO9594	    1J	        16567	    5POSER	    5PWHRF	    2JF	    0	        20422	        39594	    0	    0	    0	                         	                         	                         	                         	                         	                         	19-feb-2001 00:00:00     	    0	    1A	    0	19-sep-2000 12:46:06     

    3S/E	    7MAE9595	    1J	        16568	    5POSER	    5PWHRF	    2JF	    0	        18839	        39595	    0	    0	    0	                         	                         	                         	                         	                         	                         	05-mar-2001 00:00:00     	    0	    1A	    0	19-sep-2000 12:47:44     

    3S/E	    7TAA9596	    1J	        16569	    5POSER	    5PWHRF	    2JF	    0	        17074	        39596	    0	    0	    0	                         	                         	                         	                         	                         	                         	18-mar-2001 23:00:00     	    0	    1A	    0	19-sep-2000 12:49:32     

    3S/E	    7TAA9597	    1J	        16570	    5POSER	    5PWHRF	    2JF	    0	        17074	        39597	    0	    0	    0	                         	                         	                         	                         	                         	                         	14-may-2001 00:00:00     	    0	    1A	    0	19-sep-2000 12:51:05     

    3S/E	    7TAA9598	    1J	        16571	    5POSER	    5PWHRF	    2JF	    0	        17074	        39598	    0	    0	    0	                         	                         	                         	                         	                         	                         	09-jul-2001 00:00:00     	    0	    1A	    0	19-sep-2000 12:51:59     

    3S/E	    7TPI9599	    1J	        16572	    5POSER	    5PWHRF	    2JF	    0	        20729	        39599	    0	    0	    0	                         	                         	                         	                         	                         	                         	02-apr-2001 00:00:00     	    0	    1A	    0	19-sep-2000 12:53:02     

    3S/E	    7TPI9600	    1J	        16573	    5POSER	    5PWHRF	    2JF	    0	        20729	        39600	    0	    0	    0	                         	                         	                         	                         	                         	                         	28-may-2001 00:00:00     	    0	    1A	    0	19-sep-2000 12:53:50     

    3S/E	    7HRO9601	    1J	        16574	    5POSER	    5PWHRF	    2JF	    0	        20422	        39601	    0	    0	    0	                         	                         	                         	                         	                         	                         	16-apr-2001 00:00:00     	    0	    1A	    0	19-sep-2000 12:55:54     

    3S/E	    7HRO9602	    1J	        16575	    5POSER	    5PWHRF	    2JF	    0	        20422	        39602	    0	    0	    0	                         	                         	                         	                         	                         	                         	11-jun-2001 00:00:00     	    0	    1A	    0	19-sep-2000 12:56:34     

    3S/E	    7MAE9603	    1J	        16576	    5POSER	    5PWHRF	    2JF	    0	        18839	        39603	    0	    0	    0	                         	                         	                         	                         	                         	                         	30-apr-2001 00:00:00     	    0	    1A	    0	19-sep-2000 12:57:45     

    3S/E	    7MAE9604	    1J	        16577	    5POSER	    5PWHRF	    2JF	    0	        18839	        39604	    0	    0	    0	                         	                         	                         	                         	                         	                         	25-jun-2001 00:00:00     	    0	    1A	    0	19-sep-2000 12:58:19     

    3S/E	    7CRU9605	    1J	        16578	    5POSER	    5PWHRF	    2JF	    0	        16435	        39605	    0	    0	    0	                         	                         	                         	                         	                         	                         	19-dec-2001 00:00:00     	    0	    1A	    0	19-sep-2000 13:03:04     

    3S/E	    7CRU9606	    1J	        16579	    5POSER	    5PWHRF	    2JF	    0	        16435	        39606	    0	    0	    0	                         	                         	                         	                         	                         	                         	13-feb-2001 00:00:00     	    0	    1A	    0	19-sep-2000 13:04:13     

    3S/E	    7CRU9607	    1J	        16580	    5POSER	    5PWHRF	    2JF	    0	        16435	        39607	    0	    0	    0	                         	                         	                         	                         	                         	                         	10-apr-2001 00:00:00     	    0	    1A	    0	19-sep-2000 13:04:42     

    3S/E	    7CRU9608	    1J	        16581	    5POSER	    5PWHRF	    2JF	    0	        16435	        39608	    0	    0	    0	                         	                         	                         	                         	                         	                         	05-jun-2001 00:00:00     	    0	    1A	    0	19-sep-2000 13:05:15     

    3S/E	    7COM9610	    1J	        16595	    5POSER	    5PWHRF	    2JF	    0	        19492	        39610	    0	    0	    0	                         	                         	                         	                         	                         	                         	27-feb-2001 00:00:00     	    0	    1A	    0	19-sep-2000 14:42:08     

    3S/E	    7COM9611	    1J	        16596	    5POSER	    5PWHRF	    2JF	    0	        19492	        39611	    0	    0	    0	                         	                         	                         	                         	                         	                         	24-apr-2001 00:00:00     	    0	    1A	    0	19-sep-2000 14:42:46     

    3S/E	    7COM9612	    1J	        16597	    5POSER	    5PWHRF	    2JF	    0	        19492	        39612	    0	    0	    0	                         	                         	                         	                         	                         	                         	19-jun-2001 00:00:00     	    0	    1A	    0	19-sep-2000 14:43:11     

    3S/E	    7CHL9614	    1J	        16599	    5POSER	    5PWHRF	    2JF	    0	        16341	        39614	    0	    0	    0	                         	                         	                         	                         	                         	                         	16-jan-2001 00:00:00     	    0	    1A	    0	19-sep-2000 15:10:48     

    3S/E	    7CHL9615	    1J	        16600	    5POSER	    5PWHRF	    2JF	    0	        16341	        39615	    0	    0	    0	                         	                         	                         	                         	                         	                         	13-mar-2001 00:00:00     	    0	    1A	    0	19-sep-2000 15:12:57     

    3S/E	    7CHL9616	    1J	        16601	    5POSER	    5PWHRF	    2JF	    0	        16341	        39616	    0	    0	    0	                         	                         	                         	                         	                         	                         	08-may-2001 00:00:00     	    0	    1A	    0	19-sep-2000 15:13:26     

    3S/E	    7CHL9617	    1J	        16602	    5POSER	    5PWHRF	    2JF	    0	        16341	        39617	    0	    0	    0	                         	                         	                         	                         	                         	                         	03-jul-2001 00:00:00     	    0	    1A	    0	19-sep-2000 15:13:55     

    3S/E	    7CMP9618	    1J	        16603	    5POSER	    5PWHRF	    2JF	    0	        19385	        39618	    0	    0	    0	                         	                         	                         	                         	                         	                         	30-jan-2001 00:00:00     	    0	    1A	    0	19-sep-2000 15:20:28     

    3S/E	    7CMP9619	    1J	        16605	    5POSER	    5PWHRF	    2JF	    0	        19385	        39619	    0	    0	    0	                         	                         	                         	                         	                         	                         	27-mar-2001 00:00:00     	    0	    1A	    0	19-sep-2000 15:20:57     

    3S/E	    7CMP9620	    1J	        16606	    5POSER	    5PWHRF	    2JF	    0	        19385	        39620	    0	    0	    0	                         	                         	                         	                         	                         	                         	22-may-2001 00:00:00     	    0	    1A	    0	19-sep-2000 15:21:28     

    3S/E	    7CMP9621	    1J	        16607	    5POSER	    5PWHRF	    2JF	    0	        19385	        39621	    0	    0	    0	                         	                         	                         	                         	                         	                         	17-jul-2001 00:00:00     	    0	    1A	    0	19-sep-2000 15:21:59     

    3S/E	    7TMP9624	    1B	        16610	    4POPS	    3BCT	    0	    0	        16508	        39624	    0	    0	    0	                         	                         	                         	                         	                         	                         	03-dec-2000 12:00:00     	    0	    1A	    0	19-sep-2000 15:29:57     

    3S/E	    7TOB9626	    1B	        16613	    4POPS	    3BCT	    0	    0	        16411	        39626	    0	    0	    0	                         	                         	                         	                         	                         	                         	05-jan-2001 00:00:00     	    0	    1A	    0	19-sep-2000 15:36:54     

    3S/E	    7TGA9627	    1B	        16614	    4POPS	    3BCT	    0	    0	        19841	        39627	    0	    0	    0	                         	                         	                         	                         	                         	                         	19-jan-2001 00:00:00     	    0	    1A	    0	19-sep-2000 15:37:47     

    3S/E	    7TKO9628	    1B	        16615	    4POPS	    3BCT	    0	    0	        16327	        39628	    0	    0	    0	                         	                         	                         	                         	                         	                         	02-feb-2001 00:00:00     	    0	    1A	    0	19-sep-2000 15:39:11     

    3S/E	    7SYD9640	    1F	        16629	    4POPS	    3FCT	    0	    0	            5	        39640	    0	    0	    0	                         	                         	                         	                         	                         	                         	30-jan-2001 12:00:00     	    0	    1A	    0	20-sep-2000 09:47:38     

    3S/E	    7TKY9697	    1J	        16765	    5POSER	    5PWHRF	    2JF	    0	        20469	        39697	    0	    0	    0	                         	                         	                         	                         	                         	                         	14-jan-2001 00:00:00     	    0	    1A	    0	22-sep-2000 12:18:11     

    3S/E	    7TKY9698	    1J	        16766	    5POSER	    5PWHRF	    2JF	    0	        20469	        39698	    0	    0	    0	                         	                         	                         	                         	                         	                         	19-feb-2001 00:00:00     	    0	    1A	    0	22-sep-2000 12:23:48     

    3S/E	    7ASB9700	    1J	        16771	    5POSER	    5PWHRF	    2JF	    0	        20528	        39700	    0	    0	    0	                         	                         	                         	                         	                         	                         	03-feb-2001 00:00:00     	    0	    1A	    0	22-sep-2000 12:32:07     

    3S/E	    7ASB9701	    1J	        16772	    5POSER	    5PWHRF	    2JF	    0	        20528	        39701	    0	    0	    0	                         	                         	                         	                         	                         	                         	10-mar-2001 00:00:00     	    0	    1A	    0	22-sep-2000 12:32:33     

    3S/E	    7KAR9704	    1B	        16779	    4POPS	    3BCT	    0	    0	        14629	        39704	    0	    0	    0	                         	28-nov-2000 07:26:28     	28-nov-2000 07:27:34     	                         	                         	                         	24-nov-2000 05:25:00     	    0	    1A	    6ky2599	28-nov-2000 07:27:37     

    3S/E	    7KHR9707	    1B	        16782	    4POPS	    3BCT	    0	    0	        16550	        39707	    0	    0	    0	                         	                         	                         	                         	                         	                         	03-dec-2000 00:00:00     	    0	    1A	    0	22-sep-2000 12:54:25     

    3S/E	    7KHR9708	    1B	        16783	    4POPS	    3BCT	    0	    0	        16550	        39708	    0	    0	    0	                         	                         	                         	                         	                         	                         	08-dec-2000 00:00:00     	    0	    1A	    0	22-sep-2000 12:55:10     

    3S/E	    7NCF9776	    1J	        16951	    5POSER	    5PWHRF	    2JF	    0	        20306	        39776	    0	    0	    0	                         	                         	                         	                         	                         	                         	05-oct-2002 00:00:00     	    0	    1A	    0	29-sep-2000 13:04:38     

    3S/E	    7PLG9837	    1F	        17140	    4POPS	    3FCT	    0	    0	        19960	        39837	    0	    0	    0	28-nov-2000 08:06:33     	27-mar-2001 11:13:46     	02-apr-2001 13:58:25     	                         	                         	                         	21-nov-2000 21:05:00     	    0	    1A	    6mo2719	02-apr-2001 13:58:25     

    3S/E	    7SEN9844	    1F	        17147	    4POPS	    3FCT	    0	    0	        20797	        39844	    0	    0	    0	                         	                         	                         	                         	                         	                         	26-nov-2000 19:17:00     	    0	    1A	    0	05-oct-2000 11:04:01     

    3S/E	    7SFO9849	    1F	        17151	    4POPS	    3FCT	    0	    0	        20596	        39849	    0	    0	    0	                         	                         	                         	                         	                         	                         	28-nov-2000 22:15:00     	    0	    1A	    0	05-oct-2000 11:38:56     

    3S/E	    7HKM9852	    1F	        17154	    4POPS	    3FCT	    0	    0	        20234	        39852	    0	    0	    0	06-apr-2001 15:52:56     	09-apr-2001 14:03:15     	09-apr-2001 17:21:24     	                         	                         	                         	25-nov-2000 05:30:00     	    0	    1A	    6mo2719	09-apr-2001 17:21:24     

    3S/E	    7CCY9857	    1F	        17162	    4POPS	    3FCT	    0	    0	        19691	        39857	    0	    0	    0	28-nov-2000 11:14:17     	28-nov-2000 11:16:03     	16-jan-2001 22:30:51     	                         	                         	                         	23-nov-2000 17:15:00     	    0	    1A	    6br2464	16-jan-2001 22:44:45     

    3S/E	    7COH9862	    1F	        17167	    4POPS	    3FCT	    0	    0	        20724	        39862	    0	    0	    0	28-nov-2000 11:12:29     	28-nov-2000 11:13:27     	16-jan-2001 22:30:51     	                         	                         	                         	22-nov-2000 14:10:00     	    0	    1A	    6br2464	16-jan-2001 22:31:03     

    3S/E	    7PTA9863	    1F	        17168	    4POPS	    3FCT	    0	    0	        19651	        39863	    0	    0	    0	                         	                         	                         	                         	                         	                         	31-jan-2001              	    0	    1A	    0	05-oct-2000 15:26:05     

    3S/E	    7PAL9864	    1F	        17169	    4POPS	    3FCT	    0	    0	            7	        39864	    0	    0	    0	                         	                         	                         	                         	                         	                         	01-dec-2000 23:04:00     	    0	    1A	    0	05-oct-2000 15:27:23     

    3S/E	    7CQU9865	    1F	        17170	    4POPS	    3FCT	    0	    0	          464	        39865	    0	    0	    0	                         	                         	                         	                         	                         	                         	25-nov-2000 16:10:00     	    0	    1A	    0	05-oct-2000 15:28:20     

    3S/E	    7NEM9866	    1F	        17171	    4POPS	    3FCT	    0	    0	        20647	        39866	    0	    0	    0	                         	                         	                         	                         	                         	                         	30-nov-2000 12:04:00     	    0	    1A	    0	05-oct-2000 15:28:53     

    3S/E	    7FRM9867	    1F	        17172	    4POPS	    3FCT	    0	    0	        20454	        39867	    0	    0	    0	                         	                         	                         	                         	                         	                         	26-nov-2000 21:00:00     	    0	    1A	    0	05-oct-2000 15:29:25     

    3S/E	    7CCU9870	    1F	        17175	    4POPS	    3FCT	    0	    0	        20630	        39870	    0	    0	    0	                         	                         	                         	                         	                         	                         	03-dec-2000 17:30:00     	    0	    1A	    0	05-oct-2000 15:31:07     

    3S/E	    7CCO9871	    1F	        17176	    4POPS	    3FCT	    0	    0	        20289	        39871	    0	    0	    0	                         	                         	                         	                         	                         	                         	29-nov-2000 09:04:00     	    0	    1A	    0	05-oct-2000 15:31:44     

    3S/E	    7SCT9873	    1J	        17179	    5POSER	    5PWHRF	    2JF	    0	        20637	        39873	    0	    0	    0	                         	                         	                         	                         	                         	                         	06-dec-2000 17:04:00     	    0	    1A	    0	05-oct-2000 16:12:59     

    3S/E	    7CWA9888	    1J	        17200	    5POSER	    5PWHRF	    2JF	    0	        19908	        39888	    0	    0	    0	                         	                         	                         	                         	                         	                         	29-nov-2000 01:07:00     	    0	    1A	    0	06-oct-2000 09:21:58     

    3S/E	    7SAA9889	    1J	        17201	    5POSER	    5PWHRF	    2JF	    0	        19947	        39889	    0	    0	    0	                         	                         	                         	                         	                         	                         	01-dec-2000 12:00:00     	    0	    1A	    0	06-oct-2000 09:23:25     

    3RCG	    0	    0	        17240	    4POPS	    3FCT	    0	    0	            0	            0	    0	    0	    0	                         	                         	06-oct-2000 15:53:52     	                         	                         	                         	                         	    0	    1A	    6ta5114	06-oct-2000 15:53:53     

    3S/E	    7URT9988	    1J	        17418	    5POSER	    5PWHRF	    2JF	    0	         1284	        39988	    0	    0	    0	                         	                         	                         	                         	                         	                         	27-nov-2000 22:40:00     	    0	    1A	    0	17-oct-2000 03:56:02     

    3S/E	    7SCA0110	    1J	        17630	    5POSER	    5PWHRF	    2JF	    0	        20705	        40110	    0	    0	    0	                         	                         	                         	                         	                         	                         	15-apr-2001 00:00:00     	    0	    1A	    0	26-oct-2000 12:53:19     

    3S/E	    7CLR0111	    1J	        17631	    5POSER	    5PWHRF	    2JF	    0	        19147	        40111	    0	    0	    0	                         	                         	                         	                         	                         	                         	04-mar-2001 00:00:00     	    0	    1A	    0	26-oct-2000 12:55:40     

    3S/E	    7BCH0112	    1J	        17632	    5POSER	    5PWHRF	    2JF	    0	        20726	        40112	    0	    0	    0	                         	                         	                         	                         	                         	                         	18-mar-2001 00:00:00     	    0	    1A	    0	26-oct-2000 12:56:58     

    3S/E	    7PER0113	    1J	        17633	    5POSER	    5PWHRF	    2JF	    0	         1126	        40113	    0	    0	    0	                         	                         	                         	                         	                         	                         	01-apr-2001 00:00:00     	    0	    1A	    0	26-oct-2000 12:59:22     

    3S/E	    7KAR0121	    1B	        17643	    4POPS	    3BCT	    0	    0	        14629	        40121	    0	    0	    0	                         	                         	                         	                         	                         	                         	31-dec-2000 00:00:00     	    0	    1A	    0	26-oct-2000 16:16:59     

    3S/E	    7KHR0122	    1B	        17644	    4POPS	    3BCT	    0	    0	        16550	        40122	    0	    0	    0	                         	                         	                         	                         	                         	                         	14-jan-2001 00:00:00     	    0	    1A	    0	26-oct-2000 16:18:39     

    3S/E	    7KHR0123	    1B	        17645	    4POPS	    3BCT	    0	    0	        16550	        40123	    0	    0	    0	                         	                         	                         	                         	                         	                         	19-jan-2001 00:00:00     	    0	    1A	    0	26-oct-2000 16:19:22     

    3S/E	    7KBY0124	    1B	        17646	    4POPS	    3BCT	    0	    0	        19265	        40124	    0	    0	    0	                         	                         	                         	                         	                         	                         	05-dec-2000 00:00:00     	    0	    1A	    0	26-oct-2000 16:21:19     

    3S/E	    7FTR0125	    1B	        17647	    4POPS	    3BCT	    0	    0	        19742	        40125	    0	    0	    0	                         	                         	                         	                         	                         	                         	12-dec-2000 00:00:00     	    0	    1A	    0	26-oct-2000 16:22:24     

    3S/E	    7KKO0128	    1B	        17650	    4POPS	    3BCT	    0	    0	        19348	        40128	    0	    0	    0	                         	                         	                         	                         	                         	                         	04-dec-2000 00:00:00     	    0	    1A	    0	26-oct-2000 16:26:04     

    3S/E	    7KKO0129	    1B	        17651	    4POPS	    3BCT	    0	    0	        19348	        40129	    0	    0	    0	                         	23-nov-2000 10:22:59     	27-nov-2000 15:22:35     	                         	                         	                         	22-nov-2000 06:05:00     	    0	    1A	    6ky2599	27-nov-2000 15:22:54     

    3S/E	    7KON0130	    1B	        17652	    4POPS	    3BCT	    0	    0	        19953	        40130	    0	    0	    0	                         	                         	                         	                         	                         	                         	11-dec-2000 00:00:00     	    0	    1A	    0	26-oct-2000 16:28:04     

    3S/E	    7KON0131	    1B	        17653	    4POPS	    3BCT	    0	    0	        19953	        40131	    0	    0	    0	                         	28-nov-2000 12:54:47     	                         	                         	                         	                         	27-nov-2000 20:00:00     	    0	    1A	    6ja2589	28-nov-2000 12:54:47     

    3S/E	    7KRA0132	    1B	        17654	    4POPS	    3BCT	    0	    0	        14630	        40132	    0	    0	    0	06-dec-2000 09:12:40     	14-nov-2000 11:03:52     	12-feb-2001 15:57:38     	                         	                         	                         	11-nov-2000 19:40:00     	    0	    1A	    6mo2719	12-feb-2001 15:57:39     

    3S/E	    7KAF0136	    1B	        17658	    4POPS	    3BCT	    0	    0	        20800	        40136	    0	    0	    0	                         	                         	                         	                         	                         	                         	12-dec-2000 00:00:00     	    0	    1A	    0	26-oct-2000 16:55:31     

    3S/E	    7KBY0138	    1B	        17660	    4POPS	    3BCT	    0	    0	        19265	        40138	    0	    0	    0	                         	                         	                         	                         	                         	                         	18-dec-2000 00:00:00     	    0	    1A	    0	26-oct-2000 16:58:10     

    3S/E	    7CLR0148	    1J	        17687	    5POSER	    5PWHRF	    2JF	    0	        19147	        40148	    0	    0	    0	                         	                         	                         	                         	                         	                         	29-apr-2001 00:00:00     	    0	    1A	    0	27-oct-2000 15:59:15     

    2GW	    0	    0	        17708	    5POSER	    5PWHRF	    2ON	    2IM	        20429	        39926	    0	    0	    0	                         	                         	30-oct-2000 13:36:07     	                         	                         	                         	                         	    0	    1A	    6ta5114	30-oct-2000 13:36:08     

    3S/E	    7AID0170	    1J	        17756	    5POSER	    5PWHRF	    2JF	    0	        20315	        40170	    0	    0	    0	                         	                         	                         	                         	                         	                         	05-dec-2000 22:00:00     	    0	    1A	    0	31-oct-2000 10:54:45     

    3S/E	    7CHH0172	    1F	        17759	    4POPS	    3FCT	    0	    0	        20348	        40172	    0	    0	    0	                         	                         	                         	                         	                         	                         	29-nov-2000 22:04:00     	    0	    1A	    0	31-oct-2000 11:09:31     

    3S/E	    7KWR0173	    1B	        17780	    4POPS	    3BCT	    0	    0	        20750	        40173	    0	    0	    0	                         	28-nov-2000 11:50:05     	                         	                         	                         	                         	23-nov-2000 01:00:00     	    0	    1A	    6ja2589	28-nov-2000 11:50:05     

    3S/E	    7LYO0175	    1J	        17785	    5POSER	    5PWHRF	    2JF	    0	        20175	        40175	    0	    0	    0	                         	                         	                         	                         	                         	                         	09-dec-2000 00:00:00     	    0	    1A	    0	31-oct-2000 12:45:31     

    3S/E	    7NZP0176	    1F	        17787	    4POPS	    3FCT	    0	    0	          967	        40176	    0	    0	    0	                         	                         	                         	                         	                         	                         	09-dec-2000 12:00:00     	    0	    1A	    0	31-oct-2000 12:47:11     

    3S/E	    7TBK0179	    1J	        17797	    5POSER	    5PWHRF	    2JF	    0	        19735	        40179	    0	    0	    0	                         	                         	                         	                         	                         	                         	23-nov-2000 16:45:00     	    0	    1A	    0	31-oct-2000 14:24:18     

