    4CORP	           -1	    8Standard	    0	    0	    0	    0	    0	    0	    0	    0	                         	    0	    0	    0	    0	    0	     0	10-nov-1999              	                         	                         	    4load	    0	    0	    1I
    4CORP	        13677	   27WILSONS PORTLAND CEMENT LTD	   27WILSONS PORTLAND CEMENT LTD	   28"THE MASTER" - MV GOLDEN BAY	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13678	   20G.C.N.Z. CONSULTANTS	   20G.C.N.Z. CONSULTANTS	    0	    8309-9477	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13679	   30HOLDING COMPANY PROJECTS - POA	   30HOLDING COMPANY PROJECTS - POA	    9S.LINDSAY	    8366-0055	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1N	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13680	   12MURRAY NORTH	   17MURRAY-NORTH LTD.	   10J.G.MURRAY	    8379-8940	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13681	   14TASMAN EXPRESS	   14TASMAN EXPRESS	    0	    8309-3904	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13682	    9KRTA LTD.	    9KRTA LTD.	   10J.WILLIAMS	    8520-6069	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13683	    6A.R.C.	   25AUCKLAND REGIONAL COUNCIL	    9P.TROTMAN	    8379-5950	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13684	   27BRUCE WALLACE PARTNERS LTD.	   27BRUCE WALLACE PARTNERS LTD.	   11MR. A BETTS	    8520-4969	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13685	   20DEPT.OF CONSERVATION	   20DEPT.OF CONSERVATION	    8H.JEFFRY	    8307-9279	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13686	   19FAST ANGENCIES LTD.	   19FAST ANGENCIES LTD.	    0	    8309-6700	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13687	   11SEA-TOW LTD	   11SEA-TOW LTD	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13688	   21MAINZEAL CONSTRUCTION	   21MAINZEAL CONSTRUCTION	   10J SHARROCK	    8309-0309	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13691	   26CARLTON UNITED BREWING LTD	   26CARLTON UNITED BREWING LTD	    8R HOLDEN	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13692	   21AHB STAFF ASSOCIATION	   21AHB STAFF ASSOCIATION	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13694	    8BEAUMONT	   23MR. & MRS. D.D.BEAUMONT	   14MR. D.BEAUMONT	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13696	   29AUCKLAND REGIONAL WATER BOARD	   29AUCKLAND REGIONAL WATER BOARD	    0	    8379-4420	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13698	    8NZ LINES	    8NZ LINES	    0	    8377-4394	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13699	   14EASY PARK LTD.	   14EASY PARK LTD.	    0	    9377 - 096	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13700	   14PORT OF TIMARU	   18PORT OF TIMARU LTD	   11MR M SHEARS	   11(056)44-199	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	13-nov-1999 04:21:04     	                         	    4load	    6cusimp	    0	    1A

    4CORP	        13701	   11J.E.LAWFORD	   11J.E.LAWFORD	   11J.E.LAWFORD	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13703	   10HORTIFRESH	   22HOTIFRESH PRODUCE PORT	   10TOM KIELLY	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13704	   17BLUE BOATS NZ LTD	   17BLUE BOATS NZ LTD	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13705	   21PAERATA DAIRY FACTORY	   21PAERATA DAIRY FACTORY	   15MR.MARTIN INNES	    9085 83169	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13706	   25AUCKLAND REGIONAL COUNCIL	   25AUCKLAND REGIONAL COUNCIL	   11MR. M JOLLY	    8379-4420	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13707	   15WESTPARK MARINA	   15WESTPARK MARINA	   12MARTIN SMITH	    8416-8285	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13708	   23ALANDAL CONSULTANTS LTD	   23ALANDAL CONSULTANTS LTD	   16MR R G ALEXANDER	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13710	   20CARGO MOVERS LIMITED	   20CARGO MOVERS LIMITED	   15MR NEIL CALVERT	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13711	   11GOODWIN B H	   15B H GOODWIN LTD	   25KEVIN CONNELL/BEN GOODWIN	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13712	   20TONKIN & TAYLOR LTD.	   20TONKIN & TAYLOR LTD.	   11MR. J DUDER	    8377-1865	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     3	10-nov-1999              	09-sep-2000 04:16:07     	                         	    4load	    6cusimp	    0	    1A

    4CORP	        13713	   27VIADUCT BASIN JOINT VENTURE	   27VIADUCT BASIN JOINT VENTURE	   11MR.P.BOURKE	    8579-9979	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13714	   14SEAVIEW MARINA	   14SEAVIEW MARINA	   10MR JW BOYS	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13715	   23MILBURN NEW ZEALAND LTD	   23MILBURN NEW ZEALAND LTD	    0	    8634-0132	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13716	   15B.J.ELLISON LTD	   15B.J.ELLISON LTD	   13BARRY ELLISON	    8378-9950	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13717	   14NORTHLAND PORT	   34NORTHLAND PORT CORPORATION (NZ)LTD	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	13-nov-1999 04:21:04     	                         	    4load	    6cusimp	    0	    1A

    4CORP	        13718	   20PORT OF TAURANGA LTD	   20PORT OF TAURANGA LTD	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	13-nov-1999 04:21:04     	                         	    4load	    6cusimp	    0	    1A

    4CORP	        13719	   16PORT OF GISBORNE	   20PORT OF GISBORNE LTD	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	13-nov-1999 04:21:04     	                         	    4load	    6cusimp	    0	    1A

    4CORP	        13720	   14PORT OF NAPIER	   18PORT OF NAPIER LTD	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	13-nov-1999 04:21:04     	                         	    4load	    6cusimp	    0	    1A

    4CORP	        13721	   25TARANAKI REGIONAL COUNCIL	   25TARANAKI REGIONAL COUNCIL	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13722	   18PORT OF WELLINGTON	   22PORT OF WELLINGTON LTD	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	13-nov-1999 04:21:04     	                         	    4load	    6cusimp	    0	    1A

    4CORP	        13723	   23PORT MARLBOROUGH NZ LTD	   23PORT MARLBOROUGH NZ LTD	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	13-nov-1999 04:21:04     	                         	    4load	    6cusimp	    0	    1A

    4CORP	        13724	   15PORT NELSON LTD	   15PORT NELSON LTD	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	13-nov-1999 04:21:04     	                         	    4load	    6cusimp	    0	    1A

    4CORP	        13725	   17LYTTLETON PORT CO	   26LYTTLETON PORT COMPANY LTD	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	13-nov-1999 04:21:04     	                         	    4load	    6cusimp	    0	    1A

    4CORP	        13726	   10PORT OTAGO	   14PORT OTAGO LTD	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	13-nov-1999 04:21:04     	                         	    4load	    6cusimp	    0	    1A

    4CORP	        13727	   17SOUTH PORT NZ LTD	   17SOUTH PORT NZ LTD	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	13-nov-1999 04:21:04     	                         	    4load	    6cusimp	    0	    1A

    4CORP	        13728	   30AUCK WATERFRONT INDUSTRY TRUST	   34AUCKLAND WATERFRONT INDUSTRY TRUST	   11NEIL RAINEY	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13734	   30WAITEMATA STEVEDORING SERVICES	   30WAITEMATA STEVEDORING SERVICES	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	13-nov-1999 04:21:04     	                         	    4load	    6cusimp	    0	    1A

    4CORP	        13735	   21P & O CONTAINERS LTD.	   24P & O CONTAINERS LIMITED	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	13-nov-1999 04:21:04     	                         	    4load	    6cusimp	    0	    1A

    4CORP	        13736	   14NEDLLOYD LINES	   14NEDLLOYD LINES	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13737	    7SEAGLEN	   16SEAGLEN SHIPPING	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13738	    8SEATRANS	   15SEATRANS NZ LTD	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	13-nov-1999 04:21:04     	                         	    4load	    6cusimp	    0	    1A

    4CORP	        13739	    7SOFRANA	   23SOFRANA UNILINES NZ LTD	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	13-nov-1999 04:21:04     	                         	    4load	    6cusimp	    0	    1A

    4CORP	        13740	   20TASMAN ASIA SHIPPING	   20TASMAN ASIA SHIPPING	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13741	   26UNION MARTIME SERVICES LTD	   27UNION MARITIME SERVICES LTD	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13742	    5AFFCO	    5AFFCO	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	13-nov-1999 04:21:04     	                         	    4load	    6cusimp	    0	    1A

    4CORP	        13743	   20AUCKLAND STEVEDORING	   20AUCKLAND STEVEDORING	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	13-nov-1999 04:21:04     	                         	    4load	    6cusimp	    0	    1A

    4CORP	        13744	    8FORESTRY	    8FORESTRY	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13745	    6GODWIT	   24GODWIT SHIPPING AGENCIES	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13746	   30CARGO & CONTAINER SV.-DONT USE	   26CARGO & CONTAINER SERVICES	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13747	    6LAMPEN	   20LAMPEN PORT FESTIVAL	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13748	   14BRIDGE FREIGHT	   14BRIDGE FREIGHT	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     1	10-nov-1999              	13-nov-1999 04:21:04     	                         	    4load	    6cusimp	    0	    1A

    4CORP	        13749	   25WILHELMSEN LINES (NZ) LTD	   25WILHELMSEN LINES (NZ) LTD	   11LYNETTE GAN	    8379-9084	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13750	   17COLUMBUS MARITIME	   17COLUMBUS MARITIME	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13751	   23MINISTRY OF AGRICULTURE	   23MINISTRY OF AGRICULTURE	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     3	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13752	    7PACIFIC	   16PACIFIC MARITIME	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13753	    8BLUEPORT	   12BLUEPORT ACT	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13754	   18LEONARD AND DINGLY	   19LEONARD AND DINGLEY	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	13-nov-1999 04:21:04     	                         	    4load	    6cusimp	    0	    1A

    4CORP	        13755	   23CONTAINER TERMINALS LTD	   23CONTAINER TERMINALS LTD	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     3	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13756	   13CHEF & BREWER	   13CHEF & BREWER	   14NEIL BOURCHIER	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13757	   29SOUTH ISLAND PROMOTION ASSOCI	   34SOUTH ISLAND PROMOTION ASSOCIATION	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13758	   22HARBOURSIDE RESTAURANT	   22HARBOURSIDE RESTAURANT	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13759	    3SEA	    3SSE	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1N	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13760	    8SEA PACK	   35SEA CARGO PACKING AND CONSOLIDATION	    0	    0	    0	    1I	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1N	    0	    0	     3	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13762	   19FREIGHTWAYS EXPRESS	   23FREIGHTWAYS EXPRESS LTD	    0	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

    4CORP	        13763	   18SMITH & DAVIES LTD	   18SMITH & DAVIES LTD	   15GRAHAM MCKINNON	    0	    0	    1E	    1N	    1N	    1P	                         	    320M	    6AR-EXT	    1S	    0	    0	     2	10-nov-1999              	16-nov-1999 04:21:18     	                         	    4load	    6cusimp	    0	    1I

