     1 ,          1 ,     1.00 ,         1.0000 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    49 ,       4801 ,    53.80 ,      4806.9232 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    50 ,       4901 ,    54.90 ,      4907.0466 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    51 ,       5001 ,    56.00 ,      5007.1700 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    52 ,       5101 ,    57.10 ,      5107.2934 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    53 ,       5201 ,    58.20 ,      5207.4168 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    54 ,       5301 ,    59.30 ,      5307.5402 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    55 ,       5401 ,    60.40 ,      5407.6636 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    56 ,       5501 ,    61.50 ,      5507.7870 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    57 ,       5601 ,    62.60 ,      5607.9104 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    58 ,       5701 ,    63.70 ,      5708.0338 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    59 ,       5801 ,    64.80 ,      5808.1572 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    60 ,       5901 ,    65.90 ,      5908.2806 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    61 ,       6001 ,    67.00 ,      6008.4040 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    62 ,       6101 ,    68.10 ,      6108.5274 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    63 ,       6201 ,    69.20 ,      6208.6508 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    64 ,       6301 ,    70.30 ,      6308.7742 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    65 ,       6401 ,    71.40 ,      6408.8976 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    66 ,       6501 ,    72.50 ,      6509.0210 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    67 ,       6601 ,    73.60 ,      6609.1444 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    68 ,       6701 ,    74.70 ,      6709.2678 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    69 ,       6801 ,    75.80 ,      6809.3912 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    70 ,       6901 ,    76.90 ,      6909.5146 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    71 ,       7001 ,    78.00 ,      7009.6380 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    72 ,       7101 ,    79.10 ,      7109.7614 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    73 ,       7201 ,    80.20 ,      7209.8848 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    74 ,       7301 ,    81.30 ,      7310.0082 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    75 ,       7401 ,    82.40 ,      7410.1316 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    76 ,       7501 ,    83.50 ,      7510.2550 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    77 ,       7601 ,    84.60 ,      7610.3784 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    78 ,       7701 ,    85.70 ,      7710.5018 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    79 ,       7801 ,    86.80 ,      7810.6252 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    80 ,       7901 ,    87.90 ,      7910.7486 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    81 ,       8001 ,    89.00 ,      8010.8720 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    82 ,       8101 ,    90.10 ,      8110.9954 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    83 ,       8201 ,    91.20 ,      8211.1188 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    84 ,       8301 ,    92.30 ,      8311.2422 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    85 ,       8401 ,    93.40 ,      8411.3656 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    86 ,       8501 ,    94.50 ,      8511.4890 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    87 ,       8601 ,    95.60 ,      8611.6124 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    88 ,       8701 ,    96.70 ,      8711.7358 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    89 ,       8801 ,    97.80 ,      8811.8592 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    90 ,       8901 ,    98.90 ,      8911.9826 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    91 ,       9001 ,   100.00 ,      9012.1060 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    92 ,       9101 ,   101.10 ,      9112.2294 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    93 ,       9201 ,   102.20 ,      9212.3528 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    94 ,       9301 ,   103.30 ,      9312.4762 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    95 ,       9401 ,   104.40 ,      9412.5996 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    96 ,       9501 ,   105.50 ,      9512.7230 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    97 ,       9601 ,   106.60 ,      9612.8464 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    98 ,       9701 ,   107.70 ,      9712.9698 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
    99 ,       9801 ,   108.80 ,      9813.0932 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   100 ,       9901 ,   109.90 ,      9913.2166 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   101 ,      10001 ,   111.00 ,     10013.3400 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   102 ,      10101 ,   112.10 ,     10113.4634 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   103 ,      10201 ,   113.20 ,     10213.5868 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   104 ,      10301 ,   114.30 ,     10313.7102 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   105 ,      10401 ,   115.40 ,     10413.8336 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   106 ,      10501 ,   116.50 ,     10513.9570 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   107 ,      10601 ,   117.60 ,     10614.0804 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   108 ,      10701 ,   118.70 ,     10714.2038 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   109 ,      10801 ,   119.80 ,     10814.3272 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   110 ,      10901 ,   120.90 ,     10914.4506 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   111 ,      11001 ,   122.00 ,     11014.5740 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   112 ,      11101 ,   123.10 ,     11114.6974 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   113 ,      11201 ,   124.20 ,     11214.8208 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   114 ,      11301 ,   125.30 ,     11314.9442 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   115 ,      11401 ,   126.40 ,     11415.0676 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   116 ,      11501 ,   127.50 ,     11515.1910 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   117 ,      11601 ,   128.60 ,     11615.3144 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   118 ,      11701 ,   129.70 ,     11715.4378 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   119 ,      11801 ,   130.80 ,     11815.5612 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   120 ,      11901 ,   131.90 ,     11915.6846 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   121 ,      12001 ,   133.00 ,     12015.8080 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   122 ,      12101 ,   134.10 ,     12115.9314 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   123 ,      12201 ,   135.20 ,     12216.0548 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   124 ,      12301 ,   136.30 ,     12316.1782 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   125 ,      12401 ,   137.40 ,     12416.3016 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   126 ,      12501 ,   138.50 ,     12516.4250 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   127 ,      12601 ,   139.60 ,     12616.5484 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   128 ,      12701 ,   140.70 ,     12716.6718 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   129 ,      12801 ,   141.80 ,     12816.7952 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   130 ,      12901 ,   142.90 ,     12916.9186 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   131 ,      13001 ,   144.00 ,     13017.0420 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   132 ,      13101 ,   145.10 ,     13117.1654 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   133 ,      13201 ,   146.20 ,     13217.2888 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   134 ,      13301 ,   147.30 ,     13317.4122 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   135 ,      13401 ,   148.40 ,     13417.5356 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   136 ,      13501 ,   149.50 ,     13517.6590 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   137 ,      13601 ,   150.60 ,     13617.7824 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   138 ,      13701 ,   151.70 ,     13717.9058 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   139 ,      13801 ,   152.80 ,     13818.0292 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   140 ,      13901 ,   153.90 ,     13918.1526 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   141 ,      14001 ,   155.00 ,     14018.2760 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   142 ,      14101 ,   156.10 ,     14118.3994 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   143 ,      14201 ,   157.20 ,     14218.5228 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   144 ,      14301 ,   158.30 ,     14318.6462 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   145 ,      14401 ,   159.40 ,     14418.7696 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   146 ,      14501 ,   160.50 ,     14518.8930 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   147 ,      14601 ,   161.60 ,     14619.0164 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   148 ,      14701 ,   162.70 ,     14719.1398 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   149 ,      14801 ,   163.80 ,     14819.2632 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   150 ,      14901 ,   164.90 ,     14919.3866 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   151 ,      15001 ,   166.00 ,     15019.5100 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   152 ,      15101 ,   167.10 ,     15119.6334 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   153 ,      15201 ,   168.20 ,     15219.7568 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   154 ,      15301 ,   169.30 ,     15319.8802 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   155 ,      15401 ,   170.40 ,     15420.0036 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   156 ,      15501 ,   171.50 ,     15520.1270 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   157 ,      15601 ,   172.60 ,     15620.2504 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   158 ,      15701 ,   173.70 ,     15720.3738 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   159 ,      15801 ,   174.80 ,     15820.4972 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   160 ,      15901 ,   175.90 ,     15920.6206 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   161 ,      16001 ,   177.00 ,     16020.7440 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   162 ,      16101 ,   178.10 ,     16120.8674 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   163 ,      16201 ,   179.20 ,     16220.9908 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   164 ,      16301 ,   180.30 ,     16321.1142 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   165 ,      16401 ,   181.40 ,     16421.2376 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   166 ,      16501 ,   182.50 ,     16521.3610 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   167 ,      16601 ,   183.60 ,     16621.4844 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   168 ,      16701 ,   184.70 ,     16721.6078 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   169 ,      16801 ,   185.80 ,     16821.7312 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   170 ,      16901 ,   186.90 ,     16921.8546 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   171 ,      17001 ,   188.00 ,     17021.9780 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   172 ,      17101 ,   189.10 ,     17122.1014 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   173 ,      17201 ,   190.20 ,     17222.2248 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   174 ,      17301 ,   191.30 ,     17322.3482 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   175 ,      17401 ,   192.40 ,     17422.4716 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   176 ,      17501 ,   193.50 ,     17522.5950 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   177 ,      17601 ,   194.60 ,     17622.7184 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   178 ,      17701 ,   195.70 ,     17722.8418 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   179 ,      17801 ,   196.80 ,     17822.9652 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   180 ,      17901 ,   197.90 ,     17923.0886 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   181 ,      18001 ,   199.00 ,     18023.2120 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   182 ,      18101 ,   200.10 ,     18123.3354 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   183 ,      18201 ,   201.20 ,     18223.4588 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   184 ,      18301 ,   202.30 ,     18323.5822 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   185 ,      18401 ,   203.40 ,     18423.7056 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   186 ,      18501 ,   204.50 ,     18523.8290 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   187 ,      18601 ,   205.60 ,     18623.9524 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   188 ,      18701 ,   206.70 ,     18724.0758 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   189 ,      18801 ,   207.80 ,     18824.1992 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   190 ,      18901 ,   208.90 ,     18924.3226 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   191 ,      19001 ,   210.00 ,     19024.4460 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   192 ,      19101 ,   211.10 ,     19124.5694 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   193 ,      19201 ,   212.20 ,     19224.6928 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   194 ,      19301 ,   213.30 ,     19324.8162 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   195 ,      19401 ,   214.40 ,     19424.9396 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   196 ,      19501 ,   215.50 ,     19525.0630 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   197 ,      19601 ,   216.60 ,     19625.1864 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   198 ,      19701 ,   217.70 ,     19725.3098 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   199 ,      19801 ,   218.80 ,     19825.4332 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   200 ,      19901 ,   219.90 ,     19925.5566 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   201 ,      20001 ,   221.00 ,     20025.6800 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   202 ,      20101 ,   222.10 ,     20125.8034 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   203 ,      20201 ,   223.20 ,     20225.9268 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   204 ,      20301 ,   224.30 ,     20326.0502 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   205 ,      20401 ,   225.40 ,     20426.1736 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   206 ,      20501 ,   226.50 ,     20526.2970 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   207 ,      20601 ,   227.60 ,     20626.4204 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   208 ,      20701 ,   228.70 ,     20726.5438 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   209 ,      20801 ,   229.80 ,     20826.6672 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   210 ,      20901 ,   230.90 ,     20926.7906 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   211 ,      21001 ,   232.00 ,     21026.9140 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   212 ,      21101 ,   233.10 ,     21127.0374 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   213 ,      21201 ,   234.20 ,     21227.1608 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   214 ,      21301 ,   235.30 ,     21327.2842 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   215 ,      21401 ,   236.40 ,     21427.4076 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   216 ,      21501 ,   237.50 ,     21527.5310 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   217 ,      21601 ,   238.60 ,     21627.6544 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   218 ,      21701 ,   239.70 ,     21727.7778 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   219 ,      21801 ,   240.80 ,     21827.9012 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   220 ,      21901 ,   241.90 ,     21928.0246 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   221 ,      22001 ,   243.00 ,     22028.1480 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   222 ,      22101 ,   244.10 ,     22128.2714 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   223 ,      22201 ,   245.20 ,     22228.3948 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   224 ,      22301 ,   246.30 ,     22328.5182 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   225 ,      22401 ,   247.40 ,     22428.6416 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   226 ,      22501 ,   248.50 ,     22528.7650 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   227 ,      22601 ,   249.60 ,     22628.8884 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   228 ,      22701 ,   250.70 ,     22729.0118 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   229 ,      22801 ,   251.80 ,     22829.1352 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   230 ,      22901 ,   252.90 ,     22929.2586 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   231 ,      23001 ,   254.00 ,     23029.3820 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   232 ,      23101 ,   255.10 ,     23129.5054 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   233 ,      23201 ,   256.20 ,     23229.6288 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   234 ,      23301 ,   257.30 ,     23329.7522 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   235 ,      23401 ,   258.40 ,     23429.8756 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   236 ,      23501 ,   259.50 ,     23529.9990 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   237 ,      23601 ,   260.60 ,     23630.1224 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   238 ,      23701 ,   261.70 ,     23730.2458 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   239 ,      23801 ,   262.80 ,     23830.3692 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   240 ,      23901 ,   263.90 ,     23930.4926 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   241 ,      24001 ,   265.00 ,     24030.6160 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   242 ,      24101 ,   266.10 ,     24130.7394 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   243 ,      24201 ,   267.20 ,     24230.8628 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   244 ,      24301 ,   268.30 ,     24330.9862 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   245 ,      24401 ,   269.40 ,     24431.1096 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   246 ,      24501 ,   270.50 ,     24531.2330 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   247 ,      24601 ,   271.60 ,     24631.3564 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   248 ,      24701 ,   272.70 ,     24731.4798 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
   249 ,      24801 ,   273.80 ,     24831.6032 ,hasta      ,good-bye   ,     1.00 ,12-jun-1991 
